filename,model,locality,condition,gender,asr_transcript,fuzzy_correct,llm_extracted,llm_correct
01_koramangala_quiet.wav,deepgram-nova2,Koramangala,quiet,male,hanbhai main koramaangala mein rahta hoon near sony bed signal,True,Koramangala,True
02_indiranagar_noisy.wav,deepgram-nova2,Indiranagar,noisy,female,mere ghar indrangar mein hai hundred feet road ke paas,True,Indiranagar,True
03_whitefield_quiet.wav,deepgram-nova2,Whitefield,quiet,female,main wiphil se hoon office bhi vahi hai,False,Whitefield,True
04_electroniccity_noisy.wav,deepgram-nova2,Electronic City,noisy,male,khaan sir electricity se system mein kaam karta hoon,True,NONE,False
05_marathahalli_whispered.wav,deepgram-nova2,Marathahalli,whispered,male,,False,NONE,False
06_jayanagar_quiet.wav,deepgram-nova2,Jayanagar,quiet,male,maam jaynagar maam rahta hut clock,True,Jayanagar,True
07_rajajinagar_noisy.wav,deepgram-nova2,Rajajinagar,noisy,male,,False,NONE,False
08_hebbal_rushed.wav,deepgram-nova2,Hebbal,rushed,female,ha ha haibbal fry aur ke paas rahta hoon jaldi batao,False,HBR Layout,False
09_yelahanka_quiet.wav,deepgram-nova2,Yelahanka,quiet,male,alhaga mein ek naya flat liya hain hamne,False,Yelahanka,True
10_banashankari_noisy.wav,deepgram-nova2,Banashankari,noisy,female,banishengari second stage mein rahta hoon bhai,False,Banashankari 2nd Stage,True
11_hsrlayout_quiet.wav,deepgram-nova2,HSR Layout,quiet,male,ji haan mera address hsr le uthe sector two,False,HSR Layout,True
12_btmlayout_noisy.wav,deepgram-nova2,BTM Layout,noisy,male,bpm leut mein hoon yaar stay zone,False,BTM Layout,True
13_majestic_rushed.wav,deepgram-nova2,Majestic,rushed,male,main abhi masooch ek bus ke paas hoon thoda wait karo,False,Mysore Road,False
14_silkboard_noisy.wav,deepgram-nova2,Silk Board,noisy,male,yaar silver par yah bahut hi jaan hai yah to jaante se khada ho,False,Silk Board,True
15_bellandur_quiet.wav,deepgram-nova2,Bellandur,quiet,male,bailandoor lake ke paas ek p g mein main rahta hoon,False,Bellandur,True
16_sarjapur_whispered.wav,deepgram-nova2,Sarjapur,whispered,female,sarcharpur road par shift ho gae ho main pichhale mahine,True,Sarjapur,True
17_bommanahalli_noisy.wav,deepgram-nova2,Bommanahalli,noisy,male,bammanahli mein kaam dhoondh raha hoon koi vacancy hai kya,False,Bommanahalli,True
18_krpuram_rushed.wav,deepgram-nova2,KR Puram,rushed,male,kr poore ham session ke paas baad mein main baat karta hoon,False,KR Puram,True
19_peenya_quiet.wav,deepgram-nova2,Peenya,quiet,female,pine industrial area mein factory mein kaam karta hoon,False,Peenya,True
20_yeshwanthpur_noisy.wav,deepgram-nova2,Yeshwanthpur,noisy,male,fine guys is chandraghor session ke paas rahta hoon,False,Chandraghoda,False
21_koramangala_english_quiet.wav,deepgram-nova2,Koramangala,quiet,male,yes i am currently staying in koremangala near the sony signal area,True,Koramangala,True
22_indiranagar_english_noisy.wav,deepgram-nova2,Indiranagar,noisy,female,can you send the password to my indranavar address before friday evening,True,Indira Nagar,True
01_koramangala_quiet.wav,sarvam-saaras-v3,Koramangala,quiet,male,han bhai main koramangala mein rahata hoon near sony world signal,True,Koramangala,True
02_indiranagar_noisy.wav,sarvam-saaras-v3,Indiranagar,noisy,female,mere ghar indiranagar mein hai hundred feet road ke paas,True,Indiranagar,True
03_whitefield_quiet.wav,sarvam-saaras-v3,Whitefield,quiet,female,main whitefield se hoon office bhi vahi hai,True,Whitefield,True
04_electroniccity_noisy.wav,sarvam-saaras-v3,Electronic City,noisy,male,hi sir electronics system mein kaam karta hun,False,Electronics City,True
05_marathahalli_whispered.wav,sarvam-saaras-v3,Marathahalli,whispered,male,abhi marathahalli bridge ke paas on thoda busy hai,True,Marathahalli,True
06_jayanagar_quiet.wav,sarvam-saaras-v3,Jayanagar,quiet,male,main jaynagar mein rehta hoon fourth block,True,Jayanagar,True
07_rajajinagar_noisy.wav,sarvam-saaras-v3,Rajajinagar,noisy,male,rajadhinagar mein ek room dhoond raha hun budget kaam hai,True,Rajajinagar,True
08_hebbal_rushed.wav,sarvam-saaras-v3,Hebbal,rushed,female,haan haan hebbal flyover ke paas rehta hoon jaldi batao,True,Hebbal,True
09_yelahanka_quiet.wav,sarvam-saaras-v3,Yelahanka,quiet,male,yelahanka mein ek naya flat liya hai humne,True,Yelahanka,True
10_banashankari_noisy.wav,sarvam-saaras-v3,Banashankari,noisy,female,banshangri second stage mein rehta hun bye,False,Banashankari 2nd Stage,True
11_hsrlayout_quiet.wav,sarvam-saaras-v3,HSR Layout,quiet,male,ji haan mera address hsr layout hai sector 2,True,HSR Layout,True
12_btmlayout_noisy.wav,sarvam-saaras-v3,BTM Layout,noisy,male,bpm layout mein hun yaar cage one side,True,BTM Layout,True
13_majestic_rushed.wav,sarvam-saaras-v3,Majestic,rushed,male,main abhi majestic bus ke paas hoon thoda wait karo,True,Majestic,True
14_silkboard_noisy.wav,sarvam-saaras-v3,Silk Board,noisy,male,yaar silk board pe bahut jam hai ekek ghante se khada hoon,True,Silk Board,True
15_bellandur_quiet.wav,sarvam-saaras-v3,Bellandur,quiet,male,belandur lake ke paas ek pgm rehta hua,True,Bellandur,True
16_sarjapur_whispered.wav,sarvam-saaras-v3,Sarjapur,whispered,female,sir charpur road pe shift ho gaye ho mein pichle mein gai ne,False,Chandpur,False
17_bommanahalli_noisy.wav,sarvam-saaras-v3,Bommanahalli,noisy,male,bommanahalli mein kaam dhoondh raha hoon koi vacancy hai kya,True,Bommanahalli,True
18_krpuram_rushed.wav,sarvam-saaras-v3,KR Puram,rushed,male,kr puram station ke paas hun baad mein hum baat karta hun,True,KR Puram,True
19_peenya_quiet.wav,sarvam-saaras-v3,Peenya,quiet,female,penia industrial area mein ek factory mein hum kaam karta hoon,False,Peenya,True
20_yeshwanthpur_noisy.wav,sarvam-saaras-v3,Yeshwanthpur,noisy,male,hi bhai yashchandrapur station ke paas rehta hoon,False,Yeshwantpur,True
21_koramangala_english_quiet.wav,sarvam-saaras-v3,Koramangala,quiet,male,yes i am currently staying in koramangala near the sony signal area,True,Koramangala,True
22_indiranagar_english_noisy.wav,sarvam-saaras-v3,Indiranagar,noisy,female,can you send the package to my indiranagar address before friday evening,True,Indiranagar,True
