filename,model,locality,condition,gender,reference,hypothesis,wer,cer,entity_correct,latency_sec
01_koramangala_quiet.wav,sarvam-saaras-v3,Koramangala,quiet,male,haan bhai main koramangala mein rehta hoon near sony world signal,han bhai main koramangala mein rahata hoon near sony world signal,0.1818,0.0462,True,3.285
02_indiranagar_noisy.wav,sarvam-saaras-v3,Indiranagar,noisy,female,mera ghar indiranagar mein hai hundred feet road ke paas,mere ghar indiranagar mein hai hundred feet road ke paas,0.1,0.0179,True,0.372
03_whitefield_quiet.wav,sarvam-saaras-v3,Whitefield,quiet,female,main whitefield se hoon office bhi wahee hai,main whitefield se hoon office bhi vahi hai,0.125,0.0682,True,0.732
04_electroniccity_noisy.wav,sarvam-saaras-v3,Electronic City,noisy,male,haan sir electronic city phase 1 mein kaam karta hoon,hi sir electronics system mein kaam karta hun,0.6,0.3019,False,1.094
05_marathahalli_whispered.wav,sarvam-saaras-v3,Marathahalli,whispered,male,abhi marathahalli bridge ke paas hoon thoda busy area hai,abhi marathahalli bridge ke paas on thoda busy hai,0.2,0.1228,True,0.48
06_jayanagar_quiet.wav,sarvam-saaras-v3,Jayanagar,quiet,male,main jayanagar mein rehta hoon fourth block,main jaynagar mein rehta hoon fourth block,0.1429,0.0233,True,0.422
07_rajajinagar_noisy.wav,sarvam-saaras-v3,Rajajinagar,noisy,male,rajajinagar mein ek room dhoondh raha hoon budget kam hai,rajadhinagar mein ek room dhoond raha hun budget kaam hai,0.4,0.1053,True,0.742
08_hebbal_rushed.wav,sarvam-saaras-v3,Hebbal,rushed,female,haa haa hebbal flyover ke paas rehta hoon jaldi batao,haan haan hebbal flyover ke paas rehta hoon jaldi batao,0.2,0.0377,True,0.51
09_yelahanka_quiet.wav,sarvam-saaras-v3,Yelahanka,quiet,male,yelahanka mein ek naya flat liya hai humne,yelahanka mein ek naya flat liya hai humne,0.0,0.0,True,0.462
10_banashankari_noisy.wav,sarvam-saaras-v3,Banashankari,noisy,female,banashankari second stage mein rehta hoon bhai,banshangri second stage mein rehta hun bye,0.4286,0.1739,False,0.328
11_hsrlayout_quiet.wav,sarvam-saaras-v3,HSR Layout,quiet,male,ji haan mera address hsr layout hai sector 2,ji haan mera address hsr layout hai sector 2,0.0,0.0,True,0.554
12_btmlayout_noisy.wav,sarvam-saaras-v3,BTM Layout,noisy,male,btm layout mein hoon yaar stage 1 side,bpm layout mein hun yaar cage one side,0.5,0.2105,True,0.394
13_majestic_rushed.wav,sarvam-saaras-v3,Majestic,rushed,male,main abhi majestic bus stand ke paas hoon thoda wait karo,main abhi majestic bus ke paas hoon thoda wait karo,0.0909,0.1053,True,0.663
14_silkboard_noisy.wav,sarvam-saaras-v3,Silk Board,noisy,male,yaar silk board pe bahut jam hai ek ghante se khada hoon,yaar silk board pe bahut jam hai ekek ghante se khada hoon,0.0833,0.0357,True,0.646
15_bellandur_quiet.wav,sarvam-saaras-v3,Bellandur,quiet,male,bellandur lake ke paas ek pg mein rehta hoon,belandur lake ke paas ek pgm rehta hua,0.4444,0.1818,True,0.523
16_sarjapur_whispered.wav,sarvam-saaras-v3,Sarjapur,whispered,female,sarjarpur road pe shift ho gaya hoon main pichhle mahine,sir charpur road pe shift ho gaye ho mein pichle mein gai ne,0.9,0.2857,False,0.424
17_bommanahalli_noisy.wav,sarvam-saaras-v3,Bommanahalli,noisy,male,bommanahalli mein kaam dhundh raha hoon koi vacancy hai kya,bommanahalli mein kaam dhoondh raha hoon koi vacancy hai kya,0.1,0.0339,True,0.783
18_krpuram_rushed.wav,sarvam-saaras-v3,KR Puram,rushed,male,kr puram station ke paas hoon baad mein baat karta hoon,kr puram station ke paas hun baad mein hum baat karta hun,0.2727,0.1455,True,0.555
19_peenya_quiet.wav,sarvam-saaras-v3,Peenya,quiet,female,peenya industrial area mein ek factory mein kaam karta hoon,penia industrial area mein ek factory mein hum kaam karta hoon,0.2,0.1017,False,0.566
20_yeshwanthpur_noisy.wav,sarvam-saaras-v3,Yeshwanthpur,noisy,male,haan bhai yeshwanthpur station ke paas hi rehta hoon,hi bhai yashchandrapur station ke paas rehta hoon,0.3333,0.2308,False,0.814
21_koramangala_english_quiet.wav,sarvam-saaras-v3,Koramangala,quiet,male,yes im currently staying in koramangala near the sony signal area,yes i am currently staying in koramangala near the sony signal area,0.1818,0.0308,True,0.551
22_indiranagar_english_noisy.wav,sarvam-saaras-v3,Indiranagar,noisy,female,can you send the package to my indiranagar address before friday evening,can you send the package to my indiranagar address before friday evening,0.0,0.0,True,0.515
