filename,model,locality,condition,gender,reference,hypothesis,wer,cer,entity_correct,latency_sec
01_koramangala_quiet.wav,deepgram-nova2,Koramangala,quiet,male,haan bhai main koramangala mein rehta hoon near sony world signal,hanbhai main koramaangala mein rahta hoon near sony bed signal,0.4545,0.1231,True,2.708
02_indiranagar_noisy.wav,deepgram-nova2,Indiranagar,noisy,female,mera ghar indiranagar mein hai hundred feet road ke paas,mere ghar indrangar mein hai hundred feet road ke paas,0.2,0.0536,True,0.408
03_whitefield_quiet.wav,deepgram-nova2,Whitefield,quiet,female,main whitefield se hoon office bhi wahee hai,main wiphil se hoon office bhi vahi hai,0.25,0.2045,False,0.392
04_electroniccity_noisy.wav,deepgram-nova2,Electronic City,noisy,male,haan sir electronic city phase 1 mein kaam karta hoon,khaan sir electricity se system mein kaam karta hoon,0.5,0.2453,True,0.819
05_marathahalli_whispered.wav,deepgram-nova2,Marathahalli,whispered,male,abhi marathahalli bridge ke paas hoon thoda busy area hai,,1.0,1.0,False,1.22
06_jayanagar_quiet.wav,deepgram-nova2,Jayanagar,quiet,male,main jayanagar mein rehta hoon fourth block,maam jaynagar maam rahta hut clock,1.0,0.3721,True,1.132
07_rajajinagar_noisy.wav,deepgram-nova2,Rajajinagar,noisy,male,rajajinagar mein ek room dhoondh raha hoon budget kam hai,,1.0,1.0,False,1.052
08_hebbal_rushed.wav,deepgram-nova2,Hebbal,rushed,female,haa haa hebbal flyover ke paas rehta hoon jaldi batao,ha ha haibbal fry aur ke paas rahta hoon jaldi batao,0.6,0.1698,False,0.375
09_yelahanka_quiet.wav,deepgram-nova2,Yelahanka,quiet,male,yelahanka mein ek naya flat liya hai humne,alhaga mein ek naya flat liya hain hamne,0.375,0.1667,False,1.625
10_banashankari_noisy.wav,deepgram-nova2,Banashankari,noisy,female,banashankari second stage mein rehta hoon bhai,banishengari second stage mein rahta hoon bhai,0.2857,0.087,False,0.568
11_hsrlayout_quiet.wav,deepgram-nova2,HSR Layout,quiet,male,ji haan mera address hsr layout hai sector 2,ji haan mera address hsr le uthe sector two,0.3333,0.2045,False,0.72
12_btmlayout_noisy.wav,deepgram-nova2,BTM Layout,noisy,male,btm layout mein hoon yaar stage 1 side,bpm leut mein hoon yaar stay zone,0.625,0.2895,False,0.597
13_majestic_rushed.wav,deepgram-nova2,Majestic,rushed,male,main abhi majestic bus stand ke paas hoon thoda wait karo,main abhi masooch ek bus ke paas hoon thoda wait karo,0.2727,0.2281,False,0.752
14_silkboard_noisy.wav,deepgram-nova2,Silk Board,noisy,male,yaar silk board pe bahut jam hai ek ghante se khada hoon,yaar silver par yah bahut hi jaan hai yah to jaante se khada ho,0.75,0.4286,False,1.038
15_bellandur_quiet.wav,deepgram-nova2,Bellandur,quiet,male,bellandur lake ke paas ek pg mein rehta hoon,bailandoor lake ke paas ek p g mein main rahta hoon,0.5556,0.25,False,0.826
16_sarjapur_whispered.wav,deepgram-nova2,Sarjapur,whispered,female,sarjarpur road pe shift ho gaya hoon main pichhle mahine,sarcharpur road par shift ho gae ho main pichhale mahine,0.5,0.1607,True,0.598
17_bommanahalli_noisy.wav,deepgram-nova2,Bommanahalli,noisy,male,bommanahalli mein kaam dhundh raha hoon koi vacancy hai kya,bammanahli mein kaam dhoondh raha hoon koi vacancy hai kya,0.2,0.0847,False,1.274
18_krpuram_rushed.wav,deepgram-nova2,KR Puram,rushed,male,kr puram station ke paas hoon baad mein baat karta hoon,kr poore ham session ke paas baad mein main baat karta hoon,0.4545,0.3091,False,0.813
19_peenya_quiet.wav,deepgram-nova2,Peenya,quiet,female,peenya industrial area mein ek factory mein kaam karta hoon,pine industrial area mein factory mein kaam karta hoon,0.2,0.1186,False,0.595
20_yeshwanthpur_noisy.wav,deepgram-nova2,Yeshwanthpur,noisy,male,haan bhai yeshwanthpur station ke paas hi rehta hoon,fine guys is chandraghor session ke paas rahta hoon,0.7778,0.5,False,1.056
21_koramangala_english_quiet.wav,deepgram-nova2,Koramangala,quiet,male,yes im currently staying in koramangala near the sony signal area,yes i am currently staying in koremangala near the sony signal area,0.2727,0.0462,True,0.891
22_indiranagar_english_noisy.wav,deepgram-nova2,Indiranagar,noisy,female,can you send the package to my indiranagar address before friday evening,can you send the password to my indranavar address before friday evening,0.1667,0.1111,True,0.797
